test_graph,solver,num_colors
mycielsky_6,dsatur,6
mycielsky_6,naive_greedy,6
mycielsky_6,multi_start_greedy,6
mycielsky_9,dsatur,9
mycielsky_9,naive_greedy,9
mycielsky_9,multi_start_greedy,9
barabasi_albert_420_3,dsatur,4
barabasi_albert_420_3,naive_greedy,5
barabasi_albert_420_3,multi_start_greedy,7
barabasi_albert_300_24,dsatur,14
barabasi_albert_300_24,naive_greedy,17
barabasi_albert_300_24,multi_start_greedy,20
random_regular_8_300,dsatur,5
random_regular_8_300,naive_greedy,6
random_regular_8_300,multi_start_greedy,6
random_regular_4_420,dsatur,4
random_regular_4_420,naive_greedy,5
random_regular_4_420,multi_start_greedy,4
kneser_12_3,dsatur,9
kneser_12_3,naive_greedy,8
kneser_12_3,multi_start_greedy,10
kneser_15_4,dsatur,11
kneser_15_4,naive_greedy,9
kneser_15_4,multi_start_greedy,15
erdos_renyi_300_0.2,dsatur,19
erdos_renyi_300_0.2,naive_greedy,22
erdos_renyi_300_0.2,multi_start_greedy,21
erdos_renyi_230_0.5,dsatur,36
erdos_renyi_230_0.5,naive_greedy,38
erdos_renyi_230_0.5,multi_start_greedy,37
