test_graph,solver,num_colors,lower_bound
mycielsky_6,ASSGurobi,6.0,6.0
mycielsky_6,ASSCPSAT,6.0,6.0
mycielsky_6,ASSSGurobi,6.0,6.0
mycielsky_6,ASSSCPSAT,6.0,6.0
mycielsky_6,REPGurobi,6.0,4.0
mycielsky_6,REPCPSAT,6.0,4.0
mycielsky_6,CPUnequal,6.0,5.0
mycielsky_6,AllDifferent,6.0,5.0
mycielsky_6,PYSATSolver,6.0,
mycielsky_9,ASSGurobi,9.0,3.0
mycielsky_9,ASSCPSAT,9.0,6.0
mycielsky_9,ASSSGurobi,9.0,4.0
mycielsky_9,ASSSCPSAT,9.0,6.0
mycielsky_9,REPGurobi,10.0,0.0
mycielsky_9,REPCPSAT,9.0,2.0
mycielsky_9,CPUnequal,9.0,5.0
mycielsky_9,AllDifferent,9.0,4.0
mycielsky_9,PYSATSolver,9.0,
barabasi_albert_420_3,ASSGurobi,4.0,4.0
barabasi_albert_420_3,ASSCPSAT,4.0,4.0
barabasi_albert_420_3,ASSSGurobi,4.0,4.0
barabasi_albert_420_3,ASSSCPSAT,4.0,4.0
barabasi_albert_420_3,REPGurobi,5.0,0.0
barabasi_albert_420_3,REPCPSAT,4.0,2.0
barabasi_albert_420_3,CPUnequal,4.0,4.0
barabasi_albert_420_3,AllDifferent,4.0,4.0
barabasi_albert_420_3,PYSATSolver,4.0,
barabasi_albert_300_24,ASSGurobi,inf,-inf
barabasi_albert_300_24,ASSCPSAT,14.0,10.0
barabasi_albert_300_24,ASSSGurobi,inf,-inf
barabasi_albert_300_24,ASSSCPSAT,14.0,11.0
barabasi_albert_300_24,REPGurobi,15.0,3.0
barabasi_albert_300_24,REPCPSAT,14.0,2.0
barabasi_albert_300_24,CPUnequal,14.0,8.0
barabasi_albert_300_24,AllDifferent,14.0,14.0
barabasi_albert_300_24,PYSATSolver,14.0,
random_regular_8_300,ASSGurobi,5.0,3.000000000000001
random_regular_8_300,ASSCPSAT,4.0,4.0
random_regular_8_300,ASSSGurobi,5.0,4.0
random_regular_8_300,ASSSCPSAT,4.0,4.0
random_regular_8_300,REPGurobi,6.0,0.0
random_regular_8_300,REPCPSAT,4.0,3.0
random_regular_8_300,CPUnequal,4.0,4.0
random_regular_8_300,AllDifferent,4.0,4.0
random_regular_8_300,PYSATSolver,4.0,
random_regular_4_420,ASSGurobi,3.0,3.0
random_regular_4_420,ASSCPSAT,3.0,3.0
random_regular_4_420,ASSSGurobi,3.0,3.0
random_regular_4_420,ASSSCPSAT,3.0,3.0
random_regular_4_420,REPGurobi,5.0,0.0
random_regular_4_420,REPCPSAT,3.0,2.0
random_regular_4_420,CPUnequal,3.0,3.0
random_regular_4_420,AllDifferent,3.0,3.0
random_regular_4_420,PYSATSolver,3.0,
kneser_12_3,ASSGurobi,8.0,4.000000000000074
kneser_12_3,ASSCPSAT,8.0,7.0
kneser_12_3,ASSSGurobi,8.0,4.0
kneser_12_3,ASSSCPSAT,8.0,7.0
kneser_12_3,REPGurobi,10.0,0.0
kneser_12_3,REPCPSAT,8.0,3.0
kneser_12_3,CPUnequal,8.0,6.0
kneser_12_3,AllDifferent,8.0,6.0
kneser_12_3,PYSATSolver,8.0,
kneser_15_4,ASSGurobi,9.0,3.0
kneser_15_4,ASSCPSAT,inf,-inf
kneser_15_4,ASSSGurobi,inf,-inf
kneser_15_4,ASSSCPSAT,inf,-inf
kneser_15_4,REPGurobi,inf,-inf
kneser_15_4,REPCPSAT,inf,-inf
kneser_15_4,CPUnequal,9.0,5.0
kneser_15_4,AllDifferent,9.0,5.0
kneser_15_4,PYSATSolver,9.0,
erdos_renyi_300_0.2,ASSGurobi,19.0,6.00000000000002
erdos_renyi_300_0.2,ASSCPSAT,16.0,7.0
erdos_renyi_300_0.2,ASSSGurobi,19.0,6.0
erdos_renyi_300_0.2,ASSSCPSAT,16.0,7.0
erdos_renyi_300_0.2,REPGurobi,20.0,0.0
erdos_renyi_300_0.2,REPCPSAT,17.0,1.0
erdos_renyi_300_0.2,CPUnequal,17.0,6.0
erdos_renyi_300_0.2,AllDifferent,17.0,6.0
erdos_renyi_300_0.2,PYSATSolver,17.0,
erdos_renyi_230_0.5,ASSGurobi,36.0,9.000000000000009
erdos_renyi_230_0.5,ASSCPSAT,31.0,9.0
erdos_renyi_230_0.5,ASSSGurobi,36.0,9.000000000000012
erdos_renyi_230_0.5,ASSSCPSAT,30.0,9.0
erdos_renyi_230_0.5,REPGurobi,37.0,4.0
erdos_renyi_230_0.5,REPCPSAT,31.0,3.0
erdos_renyi_230_0.5,CPUnequal,34.0,11.0
erdos_renyi_230_0.5,AllDifferent,32.0,9.0
erdos_renyi_230_0.5,PYSATSolver,32.0,
